commarea,commarea_n,countyfp10,geoid10,name10,namelsad10,notes,statefp10,tractce10,Area
"44",44.0000000000000000000000000000000,"031","17031842400","8424",Census Tract 8424,,"17","842400",1968638.234
"59",59.0000000000000000000000000000000,"031","17031840300","8403",Census Tract 8403,,"17","840300",831225.103
"34",34.0000000000000000000000000000000,"031","17031841100","8411",Census Tract 8411,,"17","841100",1143245.245
"31",31.0000000000000000000000000000000,"031","17031841200","8412",Census Tract 8412,,"17","841200",625405.828
"32",32.0000000000000000000000000000000,"031","17031839000","8390",Census Tract 8390,,"17","839000",516456.127
"28",28.0000000000000035527136788005009,"031","17031838200","8382",Census Tract 8382,,"17","838200",1157564.139
"65",65.0000000000000000000000000000000,"031","17031650301","6503.01",Census Tract 6503.01,,"17","650301",985552.911
"53",53.0000000000000000000000000000000,"031","17031530503","5305.03",Census Tract 5305.03,,"17","530503",1637979.424
"76",76.0000000000000000000000000000000,"031","17031760803","7608.03",Census Tract 7608.03,,"17","760803",760357.475
"77",77.0000000000000000000000000000000,"031","17031030601","306.01",Census Tract 306.01,,"17","030601",252836.104
"77",77.0000000000000000000000000000000,"031","17031030604","306.04",Census Tract 306.04,,"17","030604",283748.927
"2",2.0000000000000000000000000000000,"031","17031020801","208.01",Census Tract 208.01,,"17","020801",655950.324
"54",54.0000000000000000000000000000000,"031","17031540102","5401.02",Census Tract 5401.02,,"17","540102",5296525.912
"29",29.0000000000000000000000000000000,"031","17031843300","8433",Census Tract 8433,,"17","843300",584251.037
"54",54.0000000000000000000000000000000,"031","17031540101","5401.01",Census Tract 5401.01,,"17","540101",3866268.072
"44",44.0000000000000000000000000000000,"031","17031440201","4402.01",Census Tract 4402.01,,"17","440201",531537.287
"8",8.0000000000000000000000000000000,"031","17031080202","802.02",Census Tract 802.02,,"17","080202",155329.109
"7",7.0000000000000008881784197001252,"031","17031070102","701.02",Census Tract 701.02,,"17","070102",124701.554
"3",3.0000000000000000000000000000000,"031","17031031501","315.01",Census Tract 315.01,,"17","031501",160448.037
"3",3.0000000000000000000000000000000,"031","17031031502","315.02",Census Tract 315.02,,"17","031502",161701.940
"67",67.0000000000000000000000000000000,"031","17031834900","8349",Census Tract 8349,,"17","834900",652720.202
"68",68.0000000000000000000000000000000,"031","17031834800","8348",Census Tract 8348,,"17","834800",600481.927
"16",16.0000000000000000000000000000000,"031","17031160502","1605.02",Census Tract 1605.02,,"17","160502",310885.048
"14",14.0000000000000017763568394002505,"031","17031140702","1407.02",Census Tract 1407.02,,"17","140702",427093.270
"35",35.0000000000000000000000000000000,"031","17031842000","8420",Census Tract 8420,,"17","842000",589975.993
"15",15.0000000000000000000000000000000,"031","17031150402","1504.02",Census Tract 1504.02,,"17","150402",662510.817
"42",42.0000000000000000000000000000000,"031","17031834400","8344",Census Tract 8344,,"17","834400",585569.059
"4",4.0000000000000000000000000000000,"031","17031040201","402.01",Census Tract 402.01,,"17","040201",721411.127
"4",4.0000000000000000000000000000000,"031","17031040202","402.02",Census Tract 402.02,,"17","040202",588656.012
"2",2.0000000000000000000000000000000,"031","17031020702","207.02",Census Tract 207.02,,"17","020702",786874.455
"2",2.0000000000000000000000000000000,"031","17031020802","208.02",Census Tract 208.02,,"17","020802",644014.908
"2",2.0000000000000000000000000000000,"031","17031020301","203.01",Census Tract 203.01,,"17","020301",825541.858
"29",29.0000000000000000000000000000000,"031","17031838700","8387",Census Tract 8387,,"17","838700",658084.926
"2",2.0000000000000000000000000000000,"031","17031020601","206.01",Census Tract 206.01,,"17","020601",591326.123
"29",29.0000000000000000000000000000000,"031","17031841500","8415",Census Tract 8415,,"17","841500",432306.386
"29",29.0000000000000000000000000000000,"031","17031838600","8386",Census Tract 8386,,"17","838600",246252.627
"27",27.0000000000000000000000000000000,"031","17031837300","8373",Census Tract 8373,,"17","837300",368499.156
"2",2.0000000000000000000000000000000,"031","17031020602","206.02",Census Tract 206.02,,"17","020602",492025.079
"6",6.0000000000000000000000000000000,"031","17031063301","633.01",Census Tract 633.01,,"17","063301",93852.989
"28",28.0000000000000035527136788005009,"031","17031837800","8378",Census Tract 8378,,"17","837800",1005500.659
"27",27.0000000000000000000000000000000,"031","17031837400","8374",Census Tract 8374,,"17","837400",591450.095
"27",27.0000000000000000000000000000000,"031","17031836900","8369",Census Tract 8369,,"17","836900",164714.840
"2",2.0000000000000000000000000000000,"031","17031020302","203.02",Census Tract 203.02,,"17","020302",639919.370
"2",2.0000000000000000000000000000000,"031","17031020902","209.02",Census Tract 209.02,,"17","020902",503213.381
"1",1.0000000000000000000000000000000,"031","17031010701","107.01",Census Tract 107.01,,"17","010701",429679.705
"77",77.0000000000000000000000000000000,"031","17031030103","301.03",Census Tract 301.03,,"17","030103",187915.551
